"Edu2F","LabM","LE","EYoE","GNI","MMR","Birth","Parliament"
"Norway",97.4,68.7,81.6,17.5,"64,992",4,7.8,39.6
"Australia",94.3,71.8,82.4,20.2,"42,261",6,12.1,30.5
"Switzerland",95,74.9,83,15.8,"56,431",6,1.9,28.5
"Denmark",95.5,66.4,80.2,18.7,"44,025",5,5.1,38
"Netherlands",87.7,70.6,81.6,17.9,"45,435",6,6.2,36.9
"Germany",96.3,66.4,80.9,16.5,"43,919",7,3.8,36.9
"Ireland",80.5,68.1,80.9,18.6,"39,568",9,8.2,19.9
"United States",95.1,68.9,79.1,16.5,"52,947",28,31,19.4
"Canada",100,71,82,15.9,"42,155",11,14.5,28.2
"New Zealand",95,73.8,81.8,19.2,"32,689",8,25.3,31.4
"Singapore",74.1,77.2,83,15.4,"76,628",6,6,25.3
"Sweden",86.5,67.9,82.2,15.8,"45,636",4,6.5,43.6
"United Kingdom",99.8,68.7,80.7,16.2,"39,267",8,25.8,23.5
"Iceland",91,77.4,82.6,19,"35,182",4,11.5,41.3
"Korea (Republic of)",77,72.1,81.9,16.9,"33,890",27,2.2,16.3
"Israel",84.4,69.1,82.4,16,"30,676",2,7.8,22.5
"Luxembourg",100,64.6,81.7,13.9,"58,711",11,8.3,28.3
"Japan",87,70.4,83.5,15.3,"36,927",6,5.4,11.6
"Belgium",77.5,59.3,80.8,16.3,"41,187",6,6.7,42.4
"France",78,61.6,82.2,16,"38,056",12,5.7,25.7
"Austria",100,67.7,81.4,15.7,"43,869",4,4.1,30.3
"Finland",100,64,80.8,17.1,"38,695",4,9.2,42.5
"Slovenia",95.8,63.2,80.4,16.8,"27,852",7,0.6,27.7
"Spain",66.8,65.8,82.6,17.3,"32,045",4,10.6,38
"Italy",71.2,59.5,83.1,16,"33,030",4,4,30.1
"Czech Republic",99.9,68.3,78.6,16.4,"26,660",5,4.9,18.9
"Greece",59.5,62.5,80.9,17.6,"24,524",5,11.9,21
"Estonia",100,68.9,76.8,16.5,"25,214",11,16.8,19.8
"Cyprus",76,71.1,80.2,14,"28,633",10,5.5,12.5
"Qatar",66.7,95.5,78.2,13.8,"123,124",6,9.5,0
"Slovakia",99.1,68.6,76.3,15.1,"25,845",7,15.9,18.7
"Poland",79.4,64.9,77.4,15.5,"23,177",3,12.2,22.1
"Lithuania",89.1,67.3,73.3,16.4,"24,500",11,10.6,23.4
"Malta",68.6,66.3,80.6,14.4,"27,930",9,18.2,13
"Saudi Arabia",60.5,78.3,74.3,16.3,"52,821",16,10.2,19.9
"Argentina",56.3,75,76.3,17.9,"22,050",69,54.4,36.8
"United Arab Emirates",73.1,92,77,13.3,"60,868",8,27.6,17.5
"Chile",73.3,74.8,81.7,15.2,"21,290",22,55.3,15.8
"Portugal",47.7,66.2,80.9,16.3,"25,757",8,12.6,31.3
"Hungary",97.9,60,75.2,15.4,"22,916",14,12.1,10.1
"Bahrain",56.7,86.9,76.6,14.4,"38,599",22,13.8,15
"Latvia",98.9,67.6,74.2,15.2,"22,281",13,13.5,18
"Croatia",85,58.4,77.3,14.8,"19,409",13,12.7,25.8
"Kuwait",55.6,83.1,74.4,14.7,"83,961",14,14.5,1.5
"Montenegro",84.2,57.3,76.2,15.2,"14,558",7,15.2,17.3
"Belarus",87,63.1,71.3,15.7,"16,676",1,20.6,30.1
"Russian Federation",89.6,71.7,70.1,14.7,"22,352",24,25.7,14.5
"Oman",47.2,82.6,76.8,13.6,"34,858",11,10.6,9.6
"Romania",86.1,64.9,74.7,14.2,"18,108",33,31,12
"Uruguay",54.4,76.8,77.2,15.5,"19,283",14,58.3,11.5
"Bahamas",91.2,79.3,75.4,12.6,"21,336",37,28.5,16.7
"Kazakhstan",95.3,77.9,69.4,15,"20,867",26,29.9,20.1
"Barbados",89.5,76.6,75.6,15.4,"12,488",52,48.4,19.6
"Bulgaria",93,59,74.2,14.4,"15,596",5,35.9,20.4
"Panama",54,81.8,77.6,13.3,"18,192",85,78.5,19.3
"Malaysia",65.1,75.5,74.7,12.7,"22,762",29,5.7,14.2
"Mauritius",49.4,74.2,74.4,15.6,"17,470",73,30.9,11.6
"Trinidad and Tobago",59.7,75.5,70.4,12.3,"26,090",84,34.8,24.7
"Serbia",58.4,60.9,74.9,14.4,"12,190",16,16.9,34
"Cuba",74.3,70,79.4,13.8,"7,301",80,43.1,48.9
"Lebanon",53,70.9,79.3,13.8,"16,509",16,12,3.1
"Costa Rica",50.7,79,79.4,13.9,"13,413",38,60.8,33.3
"Iran (Islamic Republic of)",62.2,73.6,75.4,15.1,"15,440",23,31.6,3.1
"Venezuela (Bolivarian Republic of)",56.6,79.2,74.2,14.2,"16,159",110,83.2,17
"Turkey",39,70.8,75.3,14.5,"18,677",20,30.9,14.4
"Sri Lanka",72.7,76.3,74.9,13.7,"9,779",29,16.9,5.8
"Mexico",55.7,79.9,76.8,13.1,"16,056",49,63.4,37.1
"Brazil",54.6,80.8,74.5,15.2,"15,175",69,70.8,9.6
"Georgia",89.7,75.1,74.9,13.8,"7,164",41,46.8,11.3
"Azerbaijan",93.7,69.6,70.8,11.9,"16,428",26,40,15.6
"Jordan",69.5,66.6,74,13.5,"11,365",50,26.5,11.6
"The former Yugoslav Republic of Macedonia",40.2,67.5,75.4,13.4,"11,780",7,18.3,33.3
"Ukraine",91.7,66.9,71,15.1,"8,178",23,25.7,11.8
"Algeria",26.7,72.2,74.8,14,"13,054",89,10,25.7
"Peru",56.3,84.4,74.6,13.1,"11,015",89,50.7,22.3
"Albania",81.8,65.5,77.8,11.8,"9,943",21,15.3,20.7
"Armenia",94,72.6,74.7,12.3,"8,124",29,27.1,10.7
"Bosnia and Herzegovina",44.9,57.3,76.5,13.6,"9,638",8,15.1,19.3
"Ecuador",40.1,82.7,75.9,14.2,"10,605",87,77,41.6
"China",58.7,78.3,75.8,13.1,"12,547",32,8.6,23.6
"Fiji",64.2,72,70,15.7,"7,493",59,42.8,14
"Mongolia",85.3,69.3,69.4,14.6,"10,729",68,18.7,14.9
"Thailand",35.7,80.7,74.4,13.5,"13,323",26,41,6.1
"Libya",55.5,76.4,71.6,14,"14,911",15,2.5,16
"Tunisia",32.8,70.9,74.8,14.6,"10,404",46,4.6,31.3
"Colombia",56.9,79.7,74,13.5,"12,040",83,68.5,20.9
"Jamaica",74,70.9,75.7,12.4,"7,415",80,70.1,16.7
"Tonga",87.5,74.6,72.8,14.7,"5,069",120,18.1,0
"Belize",76.4,82.3,70,13.6,"7,614",45,71.4,13.3
"Dominican Republic",55.6,78.6,73.5,13.1,"11,883",100,99.6,19.1
"Suriname",44.6,68.8,71.1,12.7,"15,617",130,35.2,11.8
"Maldives",27.3,77.5,76.8,13,"12,328",31,4.2,5.9
"Samoa",64.3,58.4,73.4,12.9,"5,327",58,28.3,6.1
"Botswana",73.6,81.6,64.5,12.5,"16,646",170,44.2,9.5
"Moldova (Republic of)",93.6,44.2,71.6,11.9,"5,223",21,29.3,20.8
"Egypt",43.9,74.8,71.1,13.5,"10,512",45,43,2.2
"Gabon",53.9,65.4,64.4,12.5,"16,367",240,103,16.2
"Indonesia",39.9,84.2,68.9,13,"9,788",190,48.3,17.1
"Paraguay",36.8,84.8,72.9,11.9,"7,643",110,67,16.8
"Philippines",65.9,79.7,68.2,11.3,"7,915",120,46.8,27.1
"El Salvador",36.8,79,73,12.3,"7,349",69,76,27.4
"South Africa",72.7,60.5,57.4,13.6,"12,122",140,50.9,40.7
"Viet Nam",59.4,82.2,75.8,11.9,"5,092",49,29,24.3
"Bolivia (Plurinational State of)",47.6,80.9,68.3,13.2,"5,760",200,71.9,51.8
"Kyrgyzstan",94.5,79.5,70.6,12.5,"3,044",75,29.3,23.3
"Iraq",27.8,69.8,69.4,10.1,"14,003",67,68.7,26.5
"Guyana",60.3,80.5,66.4,10.3,"6,522",250,88.5,31.3
"Nicaragua",39.4,80.3,74.9,11.5,"4,457",100,100.8,39.1
"Morocco",20.7,75.8,74,11.6,"6,850",120,35.8,11
"Namibia",33.3,63.7,64.8,11.3,"9,418",130,54.9,37.7
"Guatemala",21.9,88.2,71.8,10.7,"6,929",140,97.2,13.3
"Tajikistan",95.1,77.1,69.4,11.2,"2,517",44,42.8,15.2
"India",27,79.9,68,11.7,"5,497",190,32.8,12.2
"Honduras",28,82.9,73.1,11.1,"3,938",120,84,25.8
"Bhutan",34,77.2,69.5,12.6,"7,176",120,40.9,8.3
"Syrian Arab Republic",29.5,72.7,69.6,12.3,"2,728",49,41.6,12.4
"Congo",39.7,73,62.3,11.1,"6,012",410,126.7,11.5
"Zambia",25.8,85.6,60.1,13.5,"3,734",280,125.4,12.7
"Ghana",45.2,71.4,61.4,11.5,"3,852",380,58.4,10.9
"Bangladesh",34.1,84.1,71.6,10,"3,191",170,80.6,20
"Cambodia",9.9,86.5,68.4,10.9,"2,949",170,44.3,19
"Kenya",25.3,72.4,61.6,11,"2,762",400,93.6,20.8
"Nepal",17.7,87.1,69.6,12.4,"2,311",190,73.7,29.5
"Pakistan",19.3,82.9,66.2,7.8,"4,866",170,27.3,19.7
"Myanmar",22.9,82.3,65.9,8.6,"4,608",200,12.1,4.7
"Swaziland",21.9,71.6,49,11.3,"5,542",310,72,14.7
"Tanzania (United Republic of)",5.6,90.2,65,9.2,"2,411",410,122.7,36
"Cameroon",21.3,76.8,55.5,10.4,"2,803",590,115.8,27.1
"Zimbabwe",48.7,89.7,57.5,10.9,"1,615",470,60.3,35.1
"Mauritania",8.3,79.1,63.1,8.5,"3,560",320,73.3,22.2
"Papua New Guinea",7.6,74,62.6,9.9,"2,463",220,62.1,2.7
"Yemen",8.6,72.2,63.8,9.2,"3,519",270,47,0.7
"Lesotho",21.9,73.5,49.8,11.1,"3,306",490,89.4,26.8
"Togo",16.1,81.3,59.7,12.2,"1,228",450,91.5,17.6
"Haiti",22.4,71,62.8,8.7,"1,669",380,42,3.5
"Rwanda",8,85.3,64.2,10.3,"1,458",320,33.6,57.5
"Uganda",22.9,79.2,58.5,9.8,"1,613",360,126.6,35
"Benin",11.3,78.3,59.6,11.1,"1,767",340,90.2,8.4
"Sudan",12.1,76,63.5,7,"3,809",360,84,23.8
"Senegal",7.2,88,66.5,7.9,"2,188",320,94.4,42.7
"Afghanistan",5.9,79.5,60.4,9.3,"1,885",400,86.8,27.6
"C̫te d'Ivoire",14,81.4,51.5,8.9,"3,171",720,130.3,9.2
"Malawi",11.1,81.5,62.8,10.8,"747",510,144.8,16.7
"Ethiopia",7.8,89.3,64.1,8.5,"1,428",420,78.4,25.5
"Gambia",17.4,82.9,60.2,8.8,"1,507",430,115.8,9.4
"Congo (Democratic Republic of the)",12.8,73.2,58.7,9.8,"680",730,135.3,8.2
"Liberia",15.4,64.8,60.9,9.5,"805",640,117.4,10.7
"Mali",7.7,81.4,58,8.4,"1,583",550,175.6,9.5
"Mozambique",1.4,82.8,55.1,9.3,"1,123",480,137.8,39.6
"Sierra Leone",10,69,50.9,8.6,"1,780",1100,100.7,12.4
"Burkina Faso",0.9,90,58.7,7.8,"1,591",400,115.4,13.3
"Burundi",5.3,82,56.7,10.1,"758",740,30.3,34.9
"Chad",1.7,79.2,51.6,7.4,"2,085",980,152,14.9
"Central African Republic",10.1,85.1,50.7,7.2,"581",880,98.3,12.5
"Niger",2.4,89.7,61.4,5.4,"908",630,204.8,13.3
